1325400064,4194304,it
1329594368,1048576,gb
1330642944,1048576,fr
1331691520,65536,pl
1331757056,65536,ie
1331822592,2048,it
1331824640,2048,ru
1331826688,2048,fr
1331828736,2048,lt
1331830784,2048,gb
1331832832,2048,it
1331834880,2048,by
1331836928,2048,fr
1331838976,2048,es
1331841024,2048,cz
1331843072,2048,gb
1331845120,2048,ru
1331847168,2048,fr
1331849216,2048,bg
1331851264,2048,al
1331853312,2048,ae
1331855360,2048,tr
1331857408,2048,ru
1331859456,2048,pl
1331861504,2048,cz
1331863552,2048,gb
1331865600,2048,nl
1331867648,2048,nl
1331869696,2048,sa
1331871744,2048,dk
1331873792,2048,ru
1331875840,2048,ru
1331877888,2048,es
1331879936,2048,de
1331881984,2048,gb
1331884032,2048,gb
1331886080,2048,ru
1331888128,2048,se
1331890176,2048,it
1331892224,2048,ru
1331894272,2048,nl
1331896320,2048,fr
1331898368,2048,gb
1331900416,2048,ru
1331902464,2048,mk
1331904512,2048,gb
1331906560,2048,gb
1331908608,2048,de
1331910656,2048,bh
1331912704,2048,de
1331914752,2048,ru
1331916800,2048,it
1331918848,2048,be
1331920896,2048,nl
1331922944,2048,de
1331924992,2048,gb
1331927040,2048,fi
1331929088,2048,fr
1331931136,2048,se
1331933184,2048,tr
1331935232,2048,nl
1331937280,2048,gb
1331939328,2048,be
1331941376,2048,es
1331943424,2048,ru
1331945472,2048,se
1331947520,2048,ch
1331949568,2048,ru
1331951616,2048,ge
1331953664,65536,bg
1332019200,65536,rs
1332084736,65536,se
1332150272,65536,gr
1332215808,65536,ru
1332281344,65536,ru
1332346880,65536,al
1332412416,65536,gr
1332477952,131072,es
1332609024,4096,pl
1332613120,4096,ua
1332617216,4096,cz
1332621312,4096,ua
1332625408,4096,ru
1332629504,4096,de
1332633600,4096,ua
1332637696,4096,bg
1332641792,4096,ua
1332645888,4096,rs
1332654080,4096,ua
1332658176,4096,pl
1332662272,4096,ua
1332666368,4096,ua
1332670464,4096,ru
1332674560,65536,ru
1332740096,524288,ro
1333264384,32768,ru
1333297152,32768,hu
1333329920,32768,hu
1333362688,32768,gb
1333395456,32768,hu
1333428224,32768,ru
1333460992,32768,gb
1333493760,32768,tr
1333526528,16384,bg
1333542912,8192,bg
1333551104,8192,pl
1333559296,32768,ua
1333592064,32768,ie
1333624832,32768,mk
1333657600,32768,ru
1333690368,32768,mk
1333723136,32768,ir
1333755904,32768,cz
1333788672,262144,gr
1334050816,8192,bg
1334059008,8192,fr
1334067200,8192,lv
1334075392,8192,ru
1334083584,8192,de
1334091776,8192,lt
1334099968,8192,ir
1334108160,8192,be
1334116352,8192,fi
1334124544,8192,de
1334132736,8192,ru
1334140928,8192,ru
1334149120,8192,ru
1334157312,8192,ru
1334165504,8192,pl
1334173696,8192,lt
1334181888,8192,ru
1334190080,8192,bg
1334198272,8192,ru
1334206464,8192,fi
1334214656,8192,jo
1334222848,8192,bg
1334231040,8192,ee
1334239232,8192,is
1334247424,8192,no
1334255616,8192,it
1334263808,8192,ru
1334272000,8192,gb
1334280192,8192,lv
1334288384,8192,pl
1334296576,8192,ua
1334304768,8192,ru
1334312960,32768,se
1334345728,32768,ru
1334378496,32768,it
1334411264,32768,ru
1334444032,32768,se
1334476800,32768,se
1334509568,32768,pl
1334542336,32768,ru
1334575104,4096,ua
1334579200,4096,ru
1334583296,4096,de
1334587392,4096,de
1334591488,4096,ru
1334595584,4096,it
1334599680,4096,ru
1334603776,4096,de
1334607872,4096,ie
1334611968,4096,me
1334616064,4096,md
1334620160,4096,de
1334624256,4096,gb
1334628352,4096,ie
1334632448,4096,kz
1334636544,4096,ru
1334640640,4096,fr
1334644736,4096,de
1334648832,4096,gb
1334652928,4096,ru
1334657024,4096,ru
1334661120,4096,ch
1334665216,4096,no
1334669312,4096,mk
1334673408,4096,gb
1334677504,4096,fi
1334681600,4096,gb
1334685696,4096,it
1334689792,4096,fr
1334693888,4096,ru
1334697984,4096,ru
1334702080,4096,cz
1334706176,4096,ba
1334710272,4096,ru
1334714368,4096,de
1334718464,4096,kz
1334722560,4096,nl
1334726656,4096,ru
